Date,Order_ID,Customer_ID,City,State,Region,Category,Product,Price,Qty,Sales,Delivery_Time
14-01-2023,SO45352,CUST 15081,Bhopal,Madhya Pradesh,Middle,Furniture,Chairs,7869,3,21246,1
15-01-2023,SO45358,CUST 23172,New Delhi,Delhi,North,Technology,Machines,13344,2,24019,3
15-01-2023,SO45361,CUST 23057,New Delhi,Delhi,North,Technology,Machines,14203,1,12783,4
15-01-2023,SO45360,CUST 28036,New Delhi,Delhi,North,Office Supplies,Paper,911,18,14758,3
15-01-2023,SO45359,CUST 11227,New Delhi,Delhi,North,Technology,Computer,11905,1,10715,5
15-01-2023,SO45363,CUST 19565,New Delhi,Delhi,North,Furniture,Tables,7866,3,21238,5
15-01-2023,SO45369,CUST 19269,New Delhi,Delhi,North,Office Supplies,Envelopes,957,18,15503,4
15-01-2023,SO45367,CUST 20561,Bangalore,Karnataka,South,Technology,Computer,10474,2,18853,2
16-01-2023,SO45376,CUST 11761,Agra,Uttar Pradesh,Middle,Furniture,Chairs,7307,5,32882,2
16-01-2023,SO45371,CUST 15062,Nellore,Andhra Pradesh,South,Technology,Machines,11660,2,20988,2
16-01-2023,SO45373,CUST 25994,Pune,Maharashtra,West,Technology,Machines,12871,1,11584,2
16-01-2023,SO45384,CUST 26789,Pune,Maharashtra,West,Office Supplies,Envelopes,419,12,4525,5
16-01-2023,SO45383,CUST 14734,Indore,Madhya Pradesh,Middle,Furniture,Chairs,7877,3,21268,2
16-01-2023,SO45385,CUST 14735,Srinagar,Jammu and Kashmir,North,Office Supplies,Bag,797,19,13629,3
16-01-2023,SO45386,CUST 19607,Varanasi,Uttar Pradesh,Middle,Office Supplies,Envelopes,706,10,6354,1
17-01-2023,SO45388,CUST 25986,Agra,Uttar Pradesh,Middle,Office Supplies,Envelopes,638,16,9187,3
17-01-2023,SO45390,CUST 19560,Patna,Bihar,East,Office Supplies,Bag,190,11,1881,3
17-01-2023,SO45387,CUST 11224,Bangalore,Karnataka,South,Furniture,Chairs,7862,6,42455,5
17-01-2023,SO45394,CUST 11468,Raipur,Chhattisgarh,Middle,Office Supplies,Paper,642,15,8667,4
17-01-2023,SO45395,CUST 29352,Kanpur,Uttar Pradesh,Middle,Office Supplies,Bag,654,11,6475,1
17-01-2023,SO45396,CUST 19594,Faridabad,Haryana,North,Office Supplies,Paper,198,20,3564,2
17-01-2023,SO45397,CUST 15051,Hyderabad,Telangana,South,Furniture,Chairs,7016,4,25258,3
17-01-2023,SO45406,CUST 25987,Nasik,Maharashtra,West,Office Supplies,Bag,155,17,2372,4
18-01-2023,SO45405,CUST 23209,Patna,Bihar,East,Office Supplies,Bag,941,11,9316,2
18-01-2023,SO45404,CUST 11217,Kanpur,Uttar Pradesh,Middle,Office Supplies,Bag,950,10,8550,3
18-01-2023,SO45408,CUST 29326,Kanpur,Uttar Pradesh,Middle,Office Supplies,Bag,926,17,14168,5
18-01-2023,SO45416,CUST 28161,Guwahati,Assam,East,Office Supplies,Envelopes,997,12,10768,3
18-01-2023,SO45414,CUST 18038,Mumbai,Maharashtra,West,Office Supplies,Envelopes,684,13,8003,1
18-01-2023,SO45424,CUST 28165,Madurai,Tamil Nadu,South,Technology,Computer,11615,2,20907,2
19-01-2023,SO45425,CUST 15056,Kota,Chhattisgarh,Middle,Technology,Machines,13200,2,23760,3
19-01-2023,SO45431,CUST 28013,Jaipur,Rajasthan,West,Office Supplies,Bag,963,18,15601,4
19-01-2023,SO45429,CUST 28129,Jaipur,Rajasthan,West,Office Supplies,Envelopes,436,16,6278,5
19-01-2023,SO45430,CUST 28176,Kanpur,Uttar Pradesh,Middle,Office Supplies,Paper,984,15,13284,5
19-01-2023,SO45435,CUST 20562,Surat,Gujarat,West,Furniture,Chairs,6578,6,35521,2
19-01-2023,SO45437,CUST 28169,Kolkata,West Bengal,East,Office Supplies,Envelopes,605,15,8168,1
20-01-2023,SO45434,CUST 11252,Chennai,Tamil Nadu,South,Office Supplies,Paper,578,13,6763,5
20-01-2023,SO45440,CUST 14198,Srinagar,Jammu and Kashmir,North,Furniture,Chairs,7591,5,34160,3
20-01-2023,SO45443,CUST 29350,New Delhi,Delhi,North,Furniture,Tables,7296,3,19699,2
20-01-2023,SO45442,CUST 29335,New Delhi,Delhi,North,Office Supplies,Paper,294,12,3175,5
20-01-2023,SO45445,CUST 19105,Gorakhpur,Haryana,North,Office Supplies,Paper,858,20,15444,1
20-01-2023,SO45452,CUST 19559,Agra,Uttar Pradesh,Middle,Furniture,Chairs,6127,3,16543,1
21-01-2023,SO45453,CUST 12549,Kota,Chhattisgarh,Middle,Technology,Computer,14418,2,25952,4
21-01-2023,SO45459,CUST 19605,Thane,Maharashtra,West,Office Supplies,Envelopes,233,14,2936,2
21-01-2023,SO45461,CUST 28646,Thane,Maharashtra,West,Technology,Machines,11856,2,21341,3
21-01-2023,SO45464,CUST 19586,Thane,Maharashtra,West,Furniture,Chairs,5423,5,24404,2
21-01-2023,SO45465,CUST 25819,Pune,Maharashtra,West,Technology,Computer,12927,2,23269,1
21-01-2023,SO45466,CUST 19611,Indore,Madhya Pradesh,Middle,Office Supplies,Envelopes,606,10,5454,2
21-01-2023,SO45470,CUST 28177,Indore,Madhya Pradesh,Middle,Office Supplies,Paper,537,13,6283,1
22-01-2023,SO45471,CUST 29280,Bhopal,Madhya Pradesh,Middle,Office Supplies,Envelopes,803,10,7227,2
22-01-2023,SO45469,CUST 19989,Mumbai,Maharashtra,West,Office Supplies,Envelopes,876,11,8672,1
22-01-2023,SO45473,CUST 19592,Bangalore,Karnataka,South,Furniture,Chairs,6555,3,17699,1
22-01-2023,SO45477,CUST 14160,Mumbai,Maharashtra,West,Furniture,Chairs,6606,5,29727,4
22-01-2023,SO45480,CUST 19564,Mumbai,Maharashtra,West,Technology,Computer,13795,1,12416,2
22-01-2023,SO45481,CUST 19563,Mumbai,Maharashtra,West,Office Supplies,Bag,571,13,6681,5
22-01-2023,SO45479,CUST 19099,Korba,Chhattisgarh,Middle,Furniture,Chairs,5118,5,23031,3
22-01-2023,SO45483,CUST 14181,Korba,Chhattisgarh,Middle,Furniture,Chairs,7422,6,40079,4
22-01-2023,SO45489,CUST 19602,Hyderabad,Telangana,South,Furniture,Chairs,7293,6,39382,4
23-01-2023,SO45495,CUST 25821,Pune,Maharashtra,West,Furniture,Chairs,6442,3,17393,4
23-01-2023,SO45501,CUST 25993,Bangalore,Karnataka,South,Technology,Machines,12733,2,22919,3
23-01-2023,SO45504,CUST 14730,Kolkata,West Bengal,East,Technology,Machines,12108,2,21794,2
24-01-2023,SO45498,CUST 28574,New Delhi,Delhi,North,Technology,Computer,11709,2,21076,2
24-01-2023,SO45496,CUST 29340,New Delhi,Delhi,North,Technology,Computer,10571,1,9514,4
24-01-2023,SO45510,CUST 22998,Korba,Chhattisgarh,Middle,Technology,Computer,11942,2,21496,3
24-01-2023,SO45509,CUST 14148,Korba,Chhattisgarh,Middle,Furniture,Chairs,6355,5,28598,1
24-01-2023,SO45511,CUST 12523,Pune,Maharashtra,West,Furniture,Chairs,6277,5,28247,5
24-01-2023,SO45514,CUST 28051,Pune,Maharashtra,West,Office Supplies,Paper,289,11,2861,1
24-01-2023,SO45581,CUST 11263,Pune,Maharashtra,West,Office Supplies,Bag,303,12,3272,4
24-01-2023,SO45586,CUST 12613,Pune,Maharashtra,West,Office Supplies,Paper,935,16,13464,1
25-01-2023,SO45592,CUST 11897,Gaya,Bihar,East,Furniture,Chairs,7567,5,34052,5
25-01-2023,SO45591,CUST 25831,Mumbai,Maharashtra,West,Office Supplies,Envelopes,954,17,14596,1
25-01-2023,SO45600,CUST 19628,Gorakhpur,Haryana,North,Office Supplies,Envelopes,403,11,3990,3
25-01-2023,SO45601,CUST 11893,Bhilai,Chhattisgarh,Middle,Office Supplies,Envelopes,110,16,1584,5
26-01-2023,SO45605,CUST 11626,Gorakhpur,Haryana,North,Furniture,Chairs,5887,6,31790,3
26-01-2023,SO45606,CUST 19967,Cuttack,Odisha,East,Technology,Machines,14208,2,25574,4
26-01-2023,SO45608,CUST 11896,Cuttack,Odisha,East,Office Supplies,Paper,368,18,5962,1
26-01-2023,SO45607,CUST 25830,Warangal,Telangana,South,Furniture,Chairs,6196,6,33458,1
27-01-2023,SO45609,CUST 14774,Mumbai,Maharashtra,West,Furniture,Tables,5720,6,30888,3
27-01-2023,SO45611,CUST 11535,Ranchi,Jharkhand,East,Furniture,Chairs,6967,3,18811,1
27-01-2023,SO45610,CUST 11303,Bikaner,Rajasthan,West,Furniture,Chairs,6802,4,24487,2
27-01-2023,SO45619,CUST 19787,Nagpur,Maharashtra,West,Office Supplies,Bag,388,14,4889,4
27-01-2023,SO45621,CUST 11768,Bangalore,Karnataka,South,Furniture,Chairs,7159,5,32216,4
28-01-2023,SO45617,CUST 15354,Bangalore,Karnataka,South,Technology,Computer,13409,2,24136,4
28-01-2023,SO45615,CUST 18137,Bangalore,Karnataka,South,Technology,Computer,10453,1,9408,3
28-01-2023,SO45620,CUST 19951,Mangalore,Karnataka,South,Furniture,Chairs,6609,6,35689,3
28-01-2023,SO45630,CUST 11899,Mysore,Karnataka,South,Office Supplies,Bag,401,17,6135,1
28-01-2023,SO45625,CUST 11307,Mysore,Karnataka,South,Office Supplies,Bag,597,18,9671,5
29-01-2023,SO45624,CUST 11291,Mumbai,Maharashtra,West,Furniture,Chairs,5418,5,24381,5
29-01-2023,SO45623,CUST 14769,Ahmedabad,Gujarat,West,Office Supplies,Paper,583,20,10494,3
29-01-2023,SO45627,CUST 18039,Hyderabad,Telangana,South,Furniture,Chairs,5478,5,24651,1
29-01-2023,SO45622,CUST 28470,Hyderabad,Telangana,South,Office Supplies,Paper,931,18,15082,2
30-01-2023,SO45631,CUST 11237,Nagpur,Maharashtra,West,Furniture,Chairs,6032,3,16286,3
30-01-2023,SO45634,CUST 19766,Ahmedabad,Gujarat,West,Office Supplies,Bag,302,12,3262,4
30-01-2023,SO45637,CUST 11525,Ahmedabad,Gujarat,West,Technology,Computer,12324,2,22183,3
30-01-2023,SO45638,CUST 14746,Chennai,Tamil Nadu,South,Technology,Computer,12827,2,23089,2
30-01-2023,SO45635,CUST 23351,Chennai,Tamil Nadu,South,Office Supplies,Paper,699,19,11953,4
30-01-2023,SO45645,CUST 11482,Bangalore,Karnataka,South,Office Supplies,Paper,211,17,3228,3
30-01-2023,SO45643,CUST 14541,Patna,Bihar,East,Office Supplies,Paper,176,15,2376,4
30-01-2023,SO45647,CUST 25997,Nagpur,Maharashtra,West,Office Supplies,Paper,950,16,13680,1
30-01-2023,SO45652,CUST 25826,Hyderabad,Telangana,South,Office Supplies,Paper,847,13,9910,4
30-01-2023,SO45651,CUST 19771,Hyderabad,Telangana,South,Technology,Computer,12358,2,22244,4
31-01-2023,SO45660,CUST 19797,Kota,Chhattisgarh,Middle,Technology,Computer,12503,1,11253,1
31-01-2023,SO45659,CUST 26003,Bokaro,Jharkhand,East,Office Supplies,Paper,945,20,17010,2
31-01-2023,SO45655,CUST 11323,Bokaro,Jharkhand,East,Office Supplies,Paper,701,18,11356,1
31-01-2023,SO45658,CUST 11270,Ajmer,Rajasthan,West,Furniture,Chairs,6652,4,23947,1
31-01-2023,SO45657,CUST 11266,Ajmer,Rajasthan,West,Technology,Machines,12275,1,11048,2
31-01-2023,SO45665,CUST 26004,Ajmer,Rajasthan,West,Technology,Machines,10773,1,9696,5
31-01-2023,SO45667,CUST 19957,Ajmer,Rajasthan,West,Office Supplies,Envelopes,312,14,3931,3
01-02-2023,SO45666,CUST 14738,Durgapur,West Bengal,East,Office Supplies,Envelopes,718,17,10985,4
01-02-2023,SO45664,CUST 14713,Durgapur,West Bengal,East,Office Supplies,Paper,240,18,3888,2
01-02-2023,SO45670,CUST 11541,Pune,Maharashtra,West,Furniture,Chairs,6682,5,30069,5
01-02-2023,SO45673,CUST 19790,Chennai,Tamil Nadu,South,Furniture,Chairs,6134,5,27603,2
01-02-2023,SO45677,CUST 11895,Chennai,Tamil Nadu,South,Technology,Computer,10608,2,19094,4
02-02-2023,SO45669,CUST 11528,Chennai,Tamil Nadu,South,Office Supplies,Paper,592,20,10656,5
02-02-2023,SO45668,CUST 11298,Jamshedpur,Jharkhand,East,Technology,Computer,14007,2,25213,1
02-02-2023,SO45674,CUST 19948,Jamshedpur,Jharkhand,East,Office Supplies,Paper,774,20,13932,3
02-02-2023,SO45676,CUST 11765,Mumbai,Maharashtra,West,Technology,Machines,14505,1,13055,3
02-02-2023,SO45671,CUST 11628,Chennai,Tamil Nadu,South,Office Supplies,Bag,809,20,14562,1
02-02-2023,SO45679,CUST 11540,Chennai,Tamil Nadu,South,Furniture,Chairs,6718,5,30231,3
03-02-2023,SO45682,CUST 19950,New Delhi,Delhi,North,Furniture,Chairs,7891,5,35510,2
03-02-2023,SO45685,CUST 18132,New Delhi,Delhi,North,Office Supplies,Bag,129,19,2206,5
03-02-2023,SO45684,CUST 11485,New Delhi,Delhi,North,Furniture,Chairs,6611,5,29750,5
03-02-2023,SO45687,CUST 26005,Jaipur,Rajasthan,West,Office Supplies,Paper,752,20,13536,1
03-02-2023,SO45689,CUST 19773,Srinagar,Jammu and Kashmir,North,Technology,Computer,14464,1,13018,2
03-02-2023,SO45698,CUST 14747,Srinagar,Jammu and Kashmir,North,Office Supplies,Paper,519,11,5138,2
03-02-2023,SO45696,CUST 11326,Mangalore,Karnataka,South,Furniture,Chairs,5606,4,20182,1
04-02-2023,SO45695,CUST 11292,Mangalore,Karnataka,South,Office Supplies,Paper,374,14,4712,2
04-02-2023,SO45692,CUST 14425,Chennai,Tamil Nadu,South,Office Supplies,Paper,644,10,5796,4
04-02-2023,SO45702,CUST 18131,Mangalore,Karnataka,South,Office Supplies,Paper,208,18,3370,2
04-02-2023,SO45703,CUST 19947,Mangalore,Karnataka,South,Technology,Machines,13446,1,12101,5
04-02-2023,SO45700,CUST 11278,Mangalore,Karnataka,South,Technology,Computer,13109,1,11798,4
04-02-2023,SO45707,CUST 11904,New Delhi,Delhi,North,Technology,Computer,11538,1,10384,4
04-02-2023,SO45711,CUST 19621,Faridabad,Haryana,North,Technology,Machines,12359,2,22246,4
05-02-2023,SO45712,CUST 11767,Nagpur,Maharashtra,West,Technology,Computer,14483,1,13035,4
05-02-2023,SO45713,CUST 15088,Mumbai,Maharashtra,West,Technology,Computer,12555,1,11300,4
05-02-2023,SO45716,CUST 19783,Raipur,Chhattisgarh,Middle,Furniture,Chairs,7717,6,41672,3
05-02-2023,SO45724,CUST 12620,Mysore,Karnataka,South,Office Supplies,Paper,888,11,8791,3
05-02-2023,SO45727,CUST 11909,Bhilai,Chhattisgarh,Middle,Technology,Computer,14694,2,26449,2
05-02-2023,SO45732,CUST 11537,Gorakhpur,Haryana,North,Office Supplies,Bag,888,18,14386,1
06-02-2023,SO45731,CUST 11286,Gorakhpur,Haryana,North,Technology,Computer,10473,1,9426,3
06-02-2023,SO45737,CUST 19965,Indore,Madhya Pradesh,Middle,Technology,Computer,14693,2,26447,5
06-02-2023,SO45740,CUST 19786,Kanpur,Uttar Pradesh,Middle,Office Supplies,Paper,490,19,8379,3
06-02-2023,SO45753,CUST 19966,Kanpur,Uttar Pradesh,Middle,Furniture,Chairs,6003,5,27014,4
06-02-2023,SO45751,CUST 14739,Kanpur,Uttar Pradesh,Middle,Furniture,Chairs,6265,6,33831,2
06-02-2023,SO45752,CUST 19772,Kanpur,Uttar Pradesh,Middle,Office Supplies,Bag,628,15,8478,3
06-02-2023,SO45747,CUST 11539,Surat,Gujarat,West,Office Supplies,Paper,751,20,13518,4
06-02-2023,SO45745,CUST 15089,Chennai,Tamil Nadu,South,Office Supplies,Paper,734,11,7267,1
06-02-2023,SO45749,CUST 14797,Pune,Maharashtra,West,Technology,Computer,13116,2,23609,1
06-02-2023,SO45754,CUST 11529,Nellore,Andhra Pradesh,South,Office Supplies,Paper,287,17,4391,4
07-02-2023,SO45762,CUST 12621,Pune,Maharashtra,West,Furniture,Chairs,6620,6,35748,1
07-02-2023,SO45763,CUST 19959,Rajkot,Gujarat,West,Office Supplies,Bag,623,10,5607,2
07-02-2023,SO45757,CUST 12561,Pune,Maharashtra,West,Office Supplies,Bag,675,20,12150,4
07-02-2023,SO45769,CUST 11327,Bikaner,Rajasthan,West,Office Supplies,Bag,574,17,8782,5
07-02-2023,SO45766,CUST 11297,Bikaner,Rajasthan,West,Furniture,Chairs,6136,5,27612,5
07-02-2023,SO45767,CUST 11299,Nagpur,Maharashtra,West,Office Supplies,Paper,782,14,9853,2
08-02-2023,SO45765,CUST 11245,Mumbai,Maharashtra,West,Technology,Computer,14255,1,12830,4
08-02-2023,SO45768,CUST 11324,Vadodara,Gujarat,West,Office Supplies,Envelopes,545,17,8339,1
08-02-2023,SO45771,CUST 11271,Vadodara,Gujarat,West,Furniture,Chairs,6814,4,24530,4
08-02-2023,SO45772,CUST 19785,Patna,Bihar,East,Technology,Computer,13690,1,12321,3
09-02-2023,SO45775,CUST 14207,Patna,Bihar,East,Office Supplies,Envelopes,999,20,17982,2
09-02-2023,SO45776,CUST 23281,Chennai,Tamil Nadu,South,Office Supplies,Bag,500,14,6300,2
10-02-2023,SO45778,CUST 26002,Chennai,Tamil Nadu,South,Furniture,Chairs,6110,3,16497,3
10-02-2023,SO45777,CUST 11907,Chennai,Tamil Nadu,South,Office Supplies,Bag,692,10,6228,5
10-02-2023,SO45818,CUST 14868,Durgapur,West Bengal,East,Office Supplies,Paper,559,13,6540,3
10-02-2023,SO45817,CUST 14801,Bangalore,Karnataka,South,Furniture,Chairs,5956,4,21442,5
10-02-2023,SO45820,CUST 25832,Chennai,Tamil Nadu,South,Office Supplies,Envelopes,979,11,9692,1
10-02-2023,SO45821,CUST 26041,Mumbai,Maharashtra,West,Furniture,Chairs,5368,6,28987,1
10-02-2023,SO45822,CUST 20246,Coimbatore,Tamil Nadu,South,Furniture,Chairs,5662,4,20383,1
10-02-2023,SO45832,CUST 11916,Mumbai,Maharashtra,West,Furniture,Tables,6592,5,29664,4
10-02-2023,SO45837,CUST 26050,Surat,Gujarat,West,Furniture,Chairs,7759,5,34916,3
11-02-2023,SO45833,CUST 11815,Ajmer,Rajasthan,West,Office Supplies,Envelopes,803,18,13009,2
11-02-2023,SO45836,CUST 14823,Bhubaneswar,Odisha,East,Office Supplies,Bag,359,19,6139,1
11-02-2023,SO45844,CUST 11812,Brahmapur,Odisha,East,Office Supplies,Envelopes,578,10,5202,5
11-02-2023,SO45842,CUST 11742,Brahmapur,Odisha,East,Office Supplies,Bag,769,19,13150,4
11-02-2023,SO45848,CUST 14852,Surat,Gujarat,West,Furniture,Chairs,6105,5,27473,1
11-02-2023,SO45847,CUST 26015,Surat,Gujarat,West,Office Supplies,Paper,406,12,4385,4
11-02-2023,SO45853,CUST 15453,Pune,Maharashtra,West,Technology,Machines,13281,2,23906,4
11-02-2023,SO45850,CUST 11776,Ajmer,Rajasthan,West,Technology,Computer,12799,2,23038,5
11-02-2023,SO45857,CUST 11919,Ajmer,Rajasthan,West,Technology,Machines,11731,1,10558,3
11-02-2023,SO45861,CUST 12650,Kolkata,West Bengal,East,Office Supplies,Paper,880,10,7920,2
11-02-2023,SO45865,CUST 20157,Thiruvananthapuram,Kerala,South,Office Supplies,Envelopes,222,10,1998,4
11-02-2023,SO45867,CUST 11772,Faridabad,Haryana,North,Office Supplies,Bag,537,14,6766,1
